frame,gt_has,pred_has,iou,center_dist_px,yolo_has,reinit,yolo_ms,yolo_fps,trk_ms,trk_fps,total_ms,total_fps
74,1,1,0.576,2.54951,0,0,0,0,1.39502,716.838,1.40111,713.719
75,1,1,0.586466,1.80278,1,1,26.0322,38.414,0.11458,8727.53,26.1683,38.2141
76,1,1,0.350877,1.58114,0,0,0,0,0.693342,1442.29,0.698971,1430.67
77,0,0,-1,-1,0,0,0,0,0.482907,2070.79,0.487185,2052.61
78,0,0,-1,-1,0,0,26.3982,37.8814,0,0,26.4036,37.8736
79,0,0,-1,-1,0,0,26.2885,38.0394,0,0,26.2944,38.0309
80,0,0,-1,-1,0,0,28.2816,35.3587,0,0,28.2884,35.3501
81,0,0,-1,-1,0,0,29.5367,33.8562,0,0,29.5437,33.8481
82,0,0,-1,-1,0,0,29.3054,34.1234,0,0,29.3126,34.115
83,0,0,-1,-1,0,0,29.3745,34.0432,0,0,29.381,34.0356
84,0,0,-1,-1,0,0,29.2271,34.2148,0,0,29.2341,34.2066
85,0,0,-1,-1,0,0,26.8957,37.1806,0,0,26.9014,37.1728
86,0,0,-1,-1,0,0,26.8246,37.2792,0,0,26.8303,37.2713
87,0,0,-1,-1,0,0,28.8626,34.6469,0,0,28.8697,34.6384
88,0,0,-1,-1,0,0,28.6038,34.9604,0,0,28.6101,34.9527
89,0,0,-1,-1,0,0,28.8872,34.6174,0,0,28.8939,34.6093
90,0,0,-1,-1,0,0,27.1673,36.8089,0,0,27.1738,36.8001
91,0,0,-1,-1,0,0,28.623,34.937,0,0,28.6298,34.9287
92,1,0,-1,-1,0,0,28.9351,34.5601,0,0,28.9438,34.5497
93,1,0,-1,-1,0,0,26.9029,37.1708,0,0,26.9099,37.1611
94,1,1,0.8,0.5,1,1,27.5243,36.3315,0.078382,12758,27.6131,36.2146
95,1,1,0.617978,2.69258,0,0,0,0,0.484847,2062.51,0.490944,2036.89
96,1,1,0.604027,2.91548,0,0,0,0,0.689821,1449.65,0.696379,1436
97,1,1,0.432584,5,0,0,0,0,0.704521,1419.4,0.710426,1407.61
98,1,1,0.371429,6.0208,0,0,0,0,0.6675,1498.13,0.673669,1484.41
99,1,1,0.453297,5.22015,0,0,0,0,0.688375,1452.7,0.695525,1437.76
100,1,1,0.515759,4.272,0,0,0,0,0.674682,1482.18,0.680573,1469.35
101,1,1,0.453297,5.22015,0,0,0,0,0.692197,1444.68,0.698034,1432.59
102,1,1,0.475504,5.09902,0,0,0,0,0.668084,1496.82,0.675105,1481.25
103,1,1,0.498584,5.02494,0,0,0,0,0.678683,1473.44,0.684499,1460.92
104,1,1,0.515759,4.272,0,0,0,0,0.623033,1605.05,0.628902,1590.07
105,1,1,0.724311,1,1,1,26.2649,38.0736,0.103914,9623.34,26.3894,37.894
106,1,1,0.724311,1.41421,0,0,0,0,0.692854,1443.31,0.699038,1430.54
107,1,1,0.681704,1.80278,0,0,0,0,0.998499,1001.5,1.00469,995.331
108,1,1,0.578313,2.54951,0,0,0,0,0.995554,1004.47,1.0017,998.307
109,1,1,0.578313,2.54951,0,0,0,0,1.04191,959.779,1.04964,952.707
110,1,1,0.519722,3.53553,0,0,0,0,0.984625,1015.62,0.99089,1009.19
111,1,1,0.601504,1.80278,0,0,0,0,0.947199,1055.74,0.952921,1049.4
112,1,1,0.543478,2.69258,0,0,0,0,1.05438,948.424,1.06123,942.303
113,1,1,0.601504,1.5,0,0,0,0,0.959446,1042.27,0.965404,1035.84
114,1,1,0.601504,0.5,0,0,0,0,1.02368,976.872,1.02964,971.217
115,1,1,0.601504,1.5,0,0,0,0,0.98801,1012.14,0.993876,1006.16
116,1,1,0.543478,2.5,0,0,0,0,1.05554,947.379,1.0614,942.156
117,1,1,0.543478,2.5,0,0,0,0,1.01153,988.606,1.01795,982.367
118,1,1,0.601504,1.80278,0,0,0,0,1.02173,978.734,1.02738,973.352
119,1,1,0.56391,2.23607,0,0,0,0,1.03604,965.212,1.04247,959.258
120,1,1,0.694444,0.707107,1,1,26.257,38.0851,0.109081,9167.5,26.3889,37.8947
121,1,1,0.694444,2.12132,0,0,0,0,0.616703,1621.53,0.623692,1603.36
122,1,1,0.694444,2.12132,0,0,0,0,0.795217,1257.52,0.801844,1247.13
123,1,1,0.694444,2.12132,0,0,0,0,0.913766,1094.37,0.919844,1087.14
124,1,1,0.694444,2.12132,0,0,0,0,0.849145,1177.66,0.855305,1169.17
125,1,1,0.619469,2.91548,0,0,0,0,0.82191,1216.68,0.828571,1206.9
126,1,1,0.619469,2.91548,0,0,0,0,0.822856,1215.28,0.830136,1204.62
127,1,1,0.619469,2.91548,0,0,0,0,0.82258,1215.69,0.828213,1207.42
128,1,1,0.648148,2.5,0,0,0,0,0.803817,1244.06,0.810473,1233.85
129,1,1,0.648148,2.06155,0,0,0,0,0.816614,1224.57,0.822888,1215.23
130,1,1,0.648148,2.06155,0,0,0,0,0.810721,1233.47,0.818419,1221.87
131,1,1,0.648148,2.06155,0,0,0,0,0.865724,1155.1,0.883465,1131.91
132,1,1,0.648148,2.06155,0,0,0,0,0.881338,1134.64,0.887555,1126.69
133,1,1,0.648148,2.5,0,0,0,0,0.83024,1204.47,0.837482,1194.06
134,1,1,0.648148,1.80278,0,0,0,0,0.822982,1215.09,0.82934,1205.78
135,1,1,0.761719,0.707107,1,1,26.8372,37.2618,0.086619,11544.8,26.9526,37.1021
136,1,1,0.628253,2.06155,0,0,0,0,0.674885,1481.73,0.691515,1446.1
137,1,1,0.553191,3.04138,0,0,0,0,0.915086,1092.79,0.928693,1076.78
138,1,1,0.628253,2.06155,0,0,0,0,0.857871,1165.68,0.865049,1156
139,1,1,0.628253,2.06155,0,0,0,0,0.928239,1077.31,0.936175,1068.18
140,1,1,0.710938,0.5,0,0,0,0,0.94657,1056.45,0.956119,1045.89
141,1,1,0.609375,1.5,0,0,0,0,0.989426,1010.69,1.00038,999.625
142,1,1,0.609375,0.5,0,0,0,0,0.808241,1237.25,0.81488,1227.17
143,1,1,0.537313,2.5,0,0,0,0,1.00055,999.447,1.00894,991.142
144,1,1,0.537313,2.5,0,0,0,0,0.874883,1143.01,0.883497,1131.87
145,1,1,0.537313,2.69258,0,0,0,0,0.854103,1170.82,0.861323,1161
146,1,1,0.660156,2.12132,0,0,0,0,0.853154,1172.12,0.861122,1161.28
147,1,1,0.579926,2.54951,0,0,0,0,1.03682,964.49,1.04505,956.888
148,1,1,0.579926,2.91548,0,0,0,0,1.02848,972.311,1.03862,962.816
149,1,1,0.609375,1.5,0,0,0,0,0.926289,1079.58,0.935242,1069.24
150,1,1,0.693333,1.11803,1,1,28.1464,35.5286,0.099299,10070.6,28.2696,35.3737
151,1,1,0.693333,1.11803,0,0,0,0,0.521392,1917.94,0.527372,1896.19
152,1,1,0.607595,2.06155,0,0,0,0,0.674408,1482.78,0.680685,1469.11
